lead_id,lead_date,origin,locadora,region,supervisor,sdr,order_date,credit_analysis_date,approved_date,formalized_date,signed_date,stage,gmv,amount_paid,target_formalized,target_signed,is_order,is_approved,is_formalized,is_signed
L100020,2026-04-01,Inbound,Locadora A,Nordeste,Supervisor C,SDR D,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100021,2026-03-09,Farmer,Locadora B,Nordeste,Supervisor C,SDR H,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100022,2026-02-03,Inbound,Locadora B,Centro-Oeste,Supervisor B,SDR B,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100023,2026-06-17,Inbound,Locadora A,Centro-Oeste,Supervisor D,SDR C,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100024,2026-05-22,Inbound,Locadora A,Nordeste,Supervisor A,SDR H,2026-05-26,2026-05-28,2026-05-30,,,Aprovado,0.0,0.0,6,5,1,1,0,0
L100025,2026-04-27,Crossover,Locadora A,Centro-Oeste,Supervisor D,SDR H,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100026,2026-03-14,Inbound,Locadora B,Sudeste,Supervisor D,SDR G,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100027,2026-05-29,C2C,Locadora B,Sul,Supervisor B,SDR B,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100028,2026-04-09,Inbound,Locadora A,Centro-Oeste,Supervisor C,SDR B,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100029,2026-03-22,Inbound,Locadora A,Sul,Supervisor D,SDR F,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100030,2026-03-23,Farmer,Locadora A,Nordeste,Supervisor B,SDR A,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100031,2026-02-11,Crossover,Locadora B,Sul,Supervisor B,SDR H,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100032,2026-01-17,Inbound,Locadora A,Sudeste,Supervisor A,SDR H,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100033,2026-04-11,Inbound,Locadora B,Sudeste,Supervisor B,SDR G,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100034,2026-06-10,C2C,Locadora A,Nordeste,Supervisor B,SDR H,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100035,2026-01-12,Inbound,Locadora A,Sudeste,Supervisor D,SDR B,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100036,2026-06-05,Inbound,Locadora B,Nordeste,Supervisor D,SDR H,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100037,2026-05-30,Crossover,Locadora A,Sudeste,Supervisor B,SDR C,2026-06-02,2026-06-06,2026-06-09,2026-06-10,,Formalizado,70381.37,0.0,6,5,1,1,1,0
L100038,2026-02-20,Inbound,Locadora A,Sudeste,Supervisor A,SDR A,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100039,2026-04-25,Inbound,Locadora A,Nordeste,Supervisor B,SDR C,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100040,2026-01-30,Inbound,Locadora A,Sudeste,Supervisor B,SDR G,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100041,2026-05-18,C2C,Locadora A,Nordeste,Supervisor C,SDR H,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100042,2026-05-07,Farmer,Locadora A,Sudeste,Supervisor A,SDR E,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100043,2026-03-06,Inbound,Locadora A,Sul,Supervisor D,SDR B,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100044,2026-01-13,Farmer,Locadora A,Sul,Supervisor C,SDR E,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100045,2026-06-25,C2C,Locadora A,Nordeste,Supervisor A,SDR E,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100046,2026-03-22,Inbound,Locadora A,Sudeste,Supervisor B,SDR E,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100047,2026-06-11,Inbound,Locadora A,Sudeste,Supervisor C,SDR C,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100048,2026-05-03,C2C,Locadora B,Centro-Oeste,Supervisor C,SDR B,2026-05-04,,,,,Pedido,0.0,0.0,6,5,1,0,0,0
L100049,2026-05-21,Inbound,Locadora A,Norte,Supervisor C,SDR C,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100050,2026-05-18,C2C,Locadora A,Nordeste,Supervisor A,SDR H,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100051,2026-02-05,Crossover,Locadora A,Nordeste,Supervisor B,SDR D,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100052,2026-03-07,Inbound,Locadora B,Sul,Supervisor C,SDR A,2026-03-09,,,,,Pedido,0.0,0.0,6,5,1,0,0,0
L100053,2026-03-26,Farmer,Locadora B,Sul,Supervisor C,SDR C,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100054,2026-04-01,Inbound,Locadora B,Nordeste,Supervisor B,SDR D,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100055,2026-01-08,Inbound,Locadora B,Nordeste,Supervisor C,SDR E,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100056,2026-04-09,Inbound,Locadora A,Nordeste,Supervisor A,SDR F,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100057,2026-01-28,Crossover,Locadora B,Nordeste,Supervisor D,SDR D,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100058,2026-05-15,Inbound,Locadora A,Nordeste,Supervisor C,SDR B,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100059,2026-05-04,Inbound,Locadora B,Sudeste,Supervisor C,SDR D,2026-05-06,2026-05-08,,,,Análise de Crédito,0.0,0.0,6,5,1,0,0,0
L100060,2026-06-16,Inbound,Locadora B,Sudeste,Supervisor C,SDR A,2026-06-20,2026-06-21,,,,Análise de Crédito,0.0,0.0,6,5,1,0,0,0
L100061,2026-05-15,Inbound,Locadora B,Norte,Supervisor D,SDR E,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100062,2026-03-08,Inbound,Locadora A,Sul,Supervisor D,SDR D,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100063,2026-06-25,C2C,Locadora B,Sudeste,Supervisor D,SDR C,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100064,2026-03-16,Inbound,Locadora A,Sul,Supervisor B,SDR F,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100065,2026-02-28,Inbound,Locadora A,Centro-Oeste,Supervisor A,SDR G,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100066,2026-06-13,Inbound,Locadora A,Nordeste,Supervisor A,SDR C,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100067,2026-03-09,Inbound,Locadora A,Nordeste,Supervisor D,SDR E,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100068,2026-01-14,Farmer,Locadora A,Sudeste,Supervisor D,SDR E,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100069,2026-03-26,Inbound,Locadora A,Sudeste,Supervisor C,SDR E,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100070,2026-05-25,Crossover,Locadora A,Sudeste,Supervisor C,SDR D,2026-05-27,2026-05-28,,,,Análise de Crédito,0.0,0.0,6,5,1,0,0,0
L100071,2026-02-04,C2C,Locadora A,Nordeste,Supervisor A,SDR B,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100072,2026-03-25,Farmer,Locadora A,Sudeste,Supervisor C,SDR B,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100073,2026-01-24,Farmer,Locadora A,Sul,Supervisor C,SDR A,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100074,2026-05-05,C2C,Locadora A,Sul,Supervisor A,SDR A,2026-05-08,2026-05-12,,,,Análise de Crédito,0.0,0.0,6,5,1,0,0,0
L100075,2026-03-28,C2C,Locadora A,Sul,Supervisor D,SDR G,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100076,2026-03-01,Inbound,Locadora B,Sul,Supervisor B,SDR A,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100077,2026-02-11,Inbound,Locadora A,Centro-Oeste,Supervisor A,SDR G,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100078,2026-04-13,Inbound,Locadora A,Sul,Supervisor C,SDR H,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100079,2026-05-02,Inbound,Locadora A,Sudeste,Supervisor B,SDR B,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100080,2026-06-20,Inbound,Locadora A,Sudeste,Supervisor C,SDR D,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100081,2026-03-21,Crossover,Locadora A,Sul,Supervisor C,SDR C,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100082,2026-01-30,Inbound,Locadora A,Sudeste,Supervisor C,SDR D,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100083,2026-05-31,Farmer,Locadora A,Centro-Oeste,Supervisor B,SDR C,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100084,2026-04-24,Farmer,Locadora A,Sudeste,Supervisor D,SDR C,2026-04-25,2026-04-28,2026-04-30,2026-05-02,2026-05-11,Assinado,77128.22,78034.01,6,5,1,1,1,1
L100085,2026-05-07,Inbound,Locadora A,Nordeste,Supervisor D,SDR F,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100086,2026-01-18,Inbound,Locadora A,Sudeste,Supervisor B,SDR D,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100087,2026-02-26,Inbound,Locadora B,Centro-Oeste,Supervisor A,SDR B,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100088,2026-05-19,Inbound,Locadora A,Sudeste,Supervisor B,SDR D,2026-05-20,2026-05-22,,,,Análise de Crédito,0.0,0.0,6,5,1,0,0,0
L100089,2026-05-31,C2C,Locadora A,Sul,Supervisor D,SDR H,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100090,2026-03-20,C2C,Locadora A,Sudeste,Supervisor B,SDR H,2026-03-23,2026-03-25,2026-03-26,,,Aprovado,0.0,0.0,6,5,1,1,0,0
L100091,2026-05-26,C2C,Locadora A,Sul,Supervisor D,SDR A,2026-05-30,2026-06-03,,,,Análise de Crédito,0.0,0.0,6,5,1,0,0,0
L100092,2026-06-02,C2C,Locadora A,Sudeste,Supervisor C,SDR E,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100093,2026-03-12,C2C,Locadora A,Nordeste,Supervisor B,SDR H,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100094,2026-06-12,Inbound,Locadora A,Sul,Supervisor A,SDR B,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100095,2026-02-22,Crossover,Locadora A,Norte,Supervisor C,SDR A,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100096,2026-02-13,Crossover,Locadora A,Centro-Oeste,Supervisor C,SDR B,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100097,2026-05-04,Inbound,Locadora A,Sul,Supervisor A,SDR C,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100098,2026-04-26,Inbound,Locadora A,Nordeste,Supervisor D,SDR H,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100099,2026-01-26,Inbound,Locadora B,Sudeste,Supervisor A,SDR C,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100100,2026-05-31,C2C,Locadora A,Sul,Supervisor B,SDR C,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100101,2026-02-06,Inbound,Locadora A,Sudeste,Supervisor C,SDR C,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100102,2026-05-26,C2C,Locadora A,Centro-Oeste,Supervisor C,SDR D,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100103,2026-01-02,Farmer,Locadora A,Sudeste,Supervisor A,SDR H,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100104,2026-05-25,Inbound,Locadora A,Sudeste,Supervisor B,SDR A,2026-05-26,2026-05-30,2026-05-31,2026-06-02,2026-06-09,Assinado,76035.52,65103.08,6,5,1,1,1,1
L100105,2026-05-23,Inbound,Locadora A,Centro-Oeste,Supervisor D,SDR D,2026-05-25,2026-05-27,,,,Análise de Crédito,0.0,0.0,6,5,1,0,0,0
L100106,2026-05-22,Inbound,Locadora A,Sul,Supervisor B,SDR E,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100107,2026-05-01,Inbound,Locadora A,Sudeste,Supervisor C,SDR A,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100108,2026-03-27,Inbound,Locadora B,Sul,Supervisor B,SDR A,2026-04-01,2026-04-02,2026-04-03,,,Aprovado,0.0,0.0,6,5,1,1,0,0
L100109,2026-05-08,C2C,Locadora A,Nordeste,Supervisor A,SDR H,2026-05-09,2026-05-10,2026-05-13,,,Aprovado,0.0,0.0,6,5,1,1,0,0
L100110,2026-02-20,Inbound,Locadora B,Sudeste,Supervisor C,SDR C,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100111,2026-05-22,Inbound,Locadora A,Sudeste,Supervisor B,SDR B,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100112,2026-04-11,Inbound,Locadora A,Norte,Supervisor B,SDR C,2026-04-12,2026-04-13,2026-04-16,2026-04-22,2026-04-27,Assinado,73535.2,66628.73,6,5,1,1,1,1
L100113,2026-03-25,Inbound,Locadora A,Nordeste,Supervisor D,SDR A,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100114,2026-04-02,Inbound,Locadora A,Sudeste,Supervisor D,SDR B,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100115,2026-04-13,Inbound,Locadora B,Sul,Supervisor B,SDR A,2026-04-17,2026-04-19,2026-04-23,,,Aprovado,0.0,0.0,6,5,1,1,0,0
L100116,2026-01-07,Crossover,Locadora A,Sudeste,Supervisor C,SDR E,2026-01-10,2026-01-13,2026-01-17,2026-01-24,2026-02-02,Assinado,55014.76,52127.19,6,5,1,1,1,1
L100117,2026-01-26,Inbound,Locadora A,Norte,Supervisor C,SDR D,2026-01-27,2026-01-29,2026-01-30,,,Aprovado,0.0,0.0,6,5,1,1,0,0
L100118,2026-02-14,Inbound,Locadora A,Sudeste,Supervisor A,SDR C,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100119,2026-01-21,Inbound,Locadora B,Sudeste,Supervisor A,SDR H,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100120,2026-03-21,Inbound,Locadora A,Sudeste,Supervisor C,SDR C,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100121,2026-05-01,Inbound,Locadora B,Sul,Supervisor D,SDR A,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100122,2026-04-29,Inbound,Locadora B,Sudeste,Supervisor D,SDR A,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100123,2026-03-27,Inbound,Locadora A,Nordeste,Supervisor B,SDR F,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100124,2026-06-04,Inbound,Locadora B,Sul,Supervisor C,SDR E,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100125,2026-04-13,Inbound,Locadora B,Sul,Supervisor B,SDR C,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100126,2026-01-15,Inbound,Locadora A,Nordeste,Supervisor D,SDR B,2026-01-17,2026-01-19,,,,Análise de Crédito,0.0,0.0,6,5,1,0,0,0
L100127,2026-05-19,Crossover,Locadora A,Sudeste,Supervisor C,SDR B,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100128,2026-04-15,Inbound,Locadora A,Sudeste,Supervisor D,SDR D,2026-04-19,2026-04-22,2026-04-23,2026-04-26,2026-04-27,Assinado,45999.43,45830.83,6,5,1,1,1,1
L100129,2026-04-25,C2C,Locadora A,Sudeste,Supervisor B,SDR F,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100130,2026-04-13,Inbound,Locadora A,Nordeste,Supervisor D,SDR F,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100131,2026-04-11,C2C,Locadora A,Sudeste,Supervisor C,SDR F,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100132,2026-01-17,Crossover,Locadora A,Nordeste,Supervisor D,SDR A,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100133,2026-04-12,Crossover,Locadora A,Sul,Supervisor A,SDR E,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100134,2026-05-24,Farmer,Locadora A,Sul,Supervisor D,SDR G,2026-05-27,2026-05-30,2026-06-02,,,Aprovado,0.0,0.0,6,5,1,1,0,0
L100135,2026-02-25,Farmer,Locadora A,Sul,Supervisor A,SDR B,2026-02-26,2026-02-28,2026-03-03,2026-03-07,2026-03-08,Assinado,76043.36,68435.16,6,5,1,1,1,1
L100136,2026-04-20,C2C,Locadora A,Sudeste,Supervisor D,SDR E,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100137,2026-01-06,Crossover,Locadora A,Sudeste,Supervisor A,SDR A,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100138,2026-03-04,Farmer,Locadora A,Centro-Oeste,Supervisor D,SDR H,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100139,2026-03-21,Inbound,Locadora A,Sudeste,Supervisor C,SDR F,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100140,2026-06-27,Inbound,Locadora A,Sul,Supervisor B,SDR E,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100141,2026-02-08,Inbound,Locadora B,Norte,Supervisor D,SDR E,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100142,2026-02-20,C2C,Locadora A,Sudeste,Supervisor B,SDR F,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100143,2026-03-15,Crossover,Locadora A,Sudeste,Supervisor A,SDR D,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100144,2026-06-29,C2C,Locadora A,Sudeste,Supervisor A,SDR H,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100145,2026-06-04,Inbound,Locadora A,Sudeste,Supervisor D,SDR B,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100146,2026-01-07,Farmer,Locadora A,Norte,Supervisor B,SDR G,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100147,2026-02-12,Inbound,Locadora A,Norte,Supervisor D,SDR G,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100148,2026-05-29,C2C,Locadora A,Sudeste,Supervisor A,SDR G,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100149,2026-01-11,Inbound,Locadora A,Norte,Supervisor A,SDR A,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100150,2026-06-04,Crossover,Locadora A,Sudeste,Supervisor D,SDR D,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100151,2026-02-20,Inbound,Locadora A,Norte,Supervisor A,SDR F,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100152,2026-06-16,Inbound,Locadora A,Nordeste,Supervisor C,SDR E,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100153,2026-02-23,Crossover,Locadora B,Sudeste,Supervisor B,SDR F,2026-02-24,2026-02-28,2026-03-03,,,Aprovado,0.0,0.0,6,5,1,1,0,0
L100154,2026-03-20,Inbound,Locadora A,Sul,Supervisor C,SDR F,2026-03-21,2026-03-24,2026-03-25,2026-04-01,2026-04-04,Assinado,41825.13,42660.33,6,5,1,1,1,1
L100155,2026-04-30,Inbound,Locadora B,Nordeste,Supervisor A,SDR B,2026-05-05,2026-05-08,2026-05-10,,,Aprovado,0.0,0.0,6,5,1,1,0,0
L100156,2026-01-23,Crossover,Locadora A,Sudeste,Supervisor B,SDR G,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100157,2026-04-11,Crossover,Locadora A,Sudeste,Supervisor D,SDR D,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100158,2026-04-02,C2C,Locadora A,Sul,Supervisor C,SDR H,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100159,2026-05-22,Inbound,Locadora A,Sudeste,Supervisor C,SDR E,2026-05-24,2026-05-28,2026-05-30,,,Aprovado,0.0,0.0,6,5,1,1,0,0
L100160,2026-06-30,C2C,Locadora A,Sudeste,Supervisor D,SDR E,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100161,2026-05-01,C2C,Locadora B,Sudeste,Supervisor B,SDR E,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100162,2026-03-16,Crossover,Locadora A,Centro-Oeste,Supervisor D,SDR G,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100163,2026-03-15,Inbound,Locadora A,Sudeste,Supervisor C,SDR H,2026-03-16,2026-03-18,2026-03-21,,,Aprovado,0.0,0.0,6,5,1,1,0,0
L100164,2026-03-17,Inbound,Locadora A,Sul,Supervisor B,SDR E,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100165,2026-05-28,Inbound,Locadora A,Sudeste,Supervisor B,SDR E,2026-06-01,2026-06-04,2026-06-07,2026-06-14,2026-06-15,Assinado,83016.95,69664.93,6,5,1,1,1,1
L100166,2026-02-28,Crossover,Locadora A,Sudeste,Supervisor B,SDR A,2026-03-02,2026-03-06,,,,Análise de Crédito,0.0,0.0,6,5,1,0,0,0
L100167,2026-01-31,Inbound,Locadora A,Centro-Oeste,Supervisor D,SDR A,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100168,2026-03-02,Crossover,Locadora A,Sudeste,Supervisor B,SDR F,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100169,2026-01-05,Inbound,Locadora A,Centro-Oeste,Supervisor C,SDR C,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100170,2026-01-20,C2C,Locadora A,Sudeste,Supervisor A,SDR D,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100171,2026-01-17,Inbound,Locadora A,Centro-Oeste,Supervisor B,SDR F,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100172,2026-05-20,Inbound,Locadora A,Sudeste,Supervisor D,SDR B,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100173,2026-05-11,C2C,Locadora A,Nordeste,Supervisor C,SDR C,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100174,2026-05-07,Inbound,Locadora B,Sudeste,Supervisor D,SDR A,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100175,2026-03-25,Crossover,Locadora B,Nordeste,Supervisor B,SDR G,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100176,2026-05-10,C2C,Locadora A,Sudeste,Supervisor D,SDR E,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100177,2026-01-30,Inbound,Locadora A,Sudeste,Supervisor D,SDR B,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100178,2026-06-13,Crossover,Locadora B,Sul,Supervisor D,SDR E,2026-06-17,2026-06-20,2026-06-22,,,Aprovado,0.0,0.0,6,5,1,1,0,0
L100179,2026-04-01,Inbound,Locadora A,Sudeste,Supervisor B,SDR B,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100180,2026-06-19,C2C,Locadora A,Sudeste,Supervisor C,SDR G,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100181,2026-01-28,Inbound,Locadora A,Nordeste,Supervisor D,SDR B,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100182,2026-04-01,Inbound,Locadora A,Nordeste,Supervisor D,SDR C,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100183,2026-05-07,Inbound,Locadora B,Sul,Supervisor D,SDR H,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100184,2026-03-31,Crossover,Locadora A,Norte,Supervisor A,SDR F,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100185,2026-03-22,Crossover,Locadora B,Sul,Supervisor C,SDR F,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100186,2026-01-31,Farmer,Locadora A,Sudeste,Supervisor D,SDR E,2026-02-03,2026-02-05,2026-02-08,,,Aprovado,0.0,0.0,6,5,1,1,0,0
L100187,2026-03-10,C2C,Locadora A,Nordeste,Supervisor C,SDR E,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100188,2026-02-13,Crossover,Locadora A,Sudeste,Supervisor A,SDR B,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
